"","GSM1371025","GSM1371026","GSM1371027","GSM1371028","GSM1371029","GSM1371030","GSM1371031","GSM1371032","GSM1371033","GSM1371034"
"TFAP2B",7.44764066937992,7.52101028187086,7.72547948251415,7.50698956030386,3.99864138053442,4.66148573144237,6.25141561802012,6.4352228393571,5.94586388536414,6.07264904750907
"NR2F2",8.56367848540321,8.41660481337119,8.22249082418258,8.19204717778902,4.00061415517391,4.10757433273139,8.21149649641058,8.04338418122573,7.84038589095808,7.64757159150436
"TFPI",10.1153403033998,10.1353890588154,9.87906492704903,9.86297328755543,6.52678102402559,6.74781833403607,7.64591198302849,7.67298879792405,7.50424887457616,7.42381529430258
"TGFB1I1",8.26691093268836,8.10883159605982,7.80182857124088,7.80102706405595,6.93111462594213,6.85713779516336,7.73457204540123,7.73546060031456,7.80803411874067,7.93346186719641
"TGFB2",9.98268680997858,9.75514630269566,9.37711172298771,9.34688156391543,5.28455851622575,5.44790057559113,8.60222689852276,8.66338874426797,9.07218722037734,8.9493310963608
"TGFBI",9.29392444908726,9.46766524928151,8.88217338170887,8.81171147583024,8.13072339221801,7.96460785067524,8.76431248479346,9.01265835292505,8.46626768959284,8.55432144109906
"TGFBR1",12.3812835458657,12.2867780865967,12.2608176203944,12.2431448644526,10.9085683202486,11.0922795696921,12.4463409812727,12.3114698889006,12.4694660850509,12.2390527975447
"TGFBR3",6.18547944623572,6.18698620077499,6.05306600707274,6.21057922143788,6.83247356704208,6.91654113307686,5.43501477473174,5.86852585489159,5.58989055900649,5.48189849840108
"TGIF1",6.01590846842725,6.1834056465869,5.92310853000163,6.21996850977847,7.79941213903373,7.79569753583397,6.66573288747621,6.89026399817332,6.30478644716189,6.41074286090259
"TGM2",7.04413476078894,6.9544033522652,6.71008195914405,6.67062283761544,5.79836509403966,5.90612764951543,6.11328611741173,6.12376158978637,5.97303067631909,6.12647536484237
"TH",5.37807313622128,5.2225388746275,5.2557051865722,5.22463357347253,5.43127747878308,5.2557051865722,6.72159567179444,6.94979857670287,6.81728959585504,6.7477723541976
"THBD",6.69314371624426,6.87099393632846,6.5317303106158,6.37008831796849,4.1845646303799,4.53552710140466,5.0452219308582,4.68121973822412,4.74539445593269,4.88032611530642
"THBS1",10.3150936676054,10.1993695886129,9.95208256068969,9.89311199371982,7.02324790980505,7.30007962504213,8.695875570276,8.225550061186,8.22828058538069,8.18131288604278
"THBS3",8.24561859606205,8.22419503274706,8.11905974126317,8.04796406956107,6.7015447512133,6.7957781156388,8.3499653734886,8.31551048245546,8.36624359858349,8.40975728242097
"TSPO",8.62188783362708,8.66032430661522,8.68933574850202,8.72575217338546,7.71871006152394,7.44783364369379,7.59733676725921,7.72486439455073,7.75203273314621,7.75703787828995
"THBS4",8.26295490209775,8.31729200357836,8.58422612138958,8.40941841648793,9.09949154883877,8.91867895704073,7.36789336323423,7.75018439485826,7.88324005991805,7.72203630670814
"THRB",4.90199834097617,4.59720098208192,4.27401157372327,4.77669515740799,7.43572538162631,7.56983058185625,4.1994484405407,3.63649285883171,4.09807888063579,3.94591567156932
"TIAM1",10.8889932652895,10.9117537820345,10.9609645686948,11.0059835605877,9.7620236710316,9.78675118896238,9.42685112748727,9.5681088593344,9.80079600648898,9.84779290652669
"TIMP2",11.6200040967609,11.6499121140686,11.510138570547,11.5609563034711,10.3124213098497,10.3132923606529,11.934715404441,11.9603283017662,11.9053182141711,11.875333871365
"TIMP3",8.24846219889368,8.28606089594222,7.99700430193808,8.03271395126661,4.65272009840936,4.90878652195444,6.58348586620324,6.65294090694864,6.6386595746048,6.55829504432078
"TJP1",7.91445651719535,7.94844789582531,7.92469191403728,7.98166284081728,8.58140193776473,8.56239851444606,7.28058232026364,7.45854866605621,7.18873219402564,7.47629415652466
